Year,T_Y_AVG (°C),K_Y_AVG
1994,16.126849315068505,
1995,15.953424657534244,0.9892462157892046
1996,14.927868852459012,0.9357156330323786
1997,15.543287671232875,1.041226167302005
1998,16.833698630136993,1.0830204642800492
1999,16.48219178082192,0.9791188581286719
2000,15.196174863387967,0.9219753698697817
2001,16.399178082191774,1.0791648707400832
2002,16.794520547945176,1.0241074561037125
2003,14.918904109589056,0.8883197389885832
2004,15.841256830601095,1.0618244285395737
2005,16.12356164383563,1.0178208595601579
2006,17.038904109589044,1.0567704881820184
2007,16.206301369863027,0.9511351942372015
2008,16.36420765027322,1.009743511292702
2009,15.637808219178092,0.9556104733807262
2010,16.989041095890425,1.0864080731630403
2011,16.933150684931505,0.9967102080309618
2012,17.365846994535517,1.0255532072946743
2013,15.995890410958921,0.9211120203922286
2014,15.534246575342454,0.9711398475635847
2015,16.63068493150684,1.0705820105820107
2016,17.33306010928961,1.0422336891520398
2017,16.807945205479445,0.9697044318487805
2018,16.5358904109589,0.9838139170972633
2019,16.650684931506866,1.0069421432831878
2020,17.456284153005466,1.048382347321594
2021,17.316164383561645,0.9919731044582191
2022,17.45178082191783,1.0078317827985581
2023,18.039999999999996,1.0337053956890987
