# Avg Yearly temperature
Year,T_Y_AVG (°C),K_Y_AVG
2000,11.479838342440802,
2001,12.616461187214611,1.0990103528349986
2002,12.917031963470318,1.0238236991970697
2003,11.316883561643836,0.8761210465103949
2004,11.905475865209471,1.0520101051106103
2005,12.247351598173514,1.0287158394032012
2006,13.17837899543379,1.0760186714488644
2007,12.366552511415525,0.9383970908486122
2008,12.49073315118397,1.01004165386059
2009,11.854714611872147,0.9490807679890643
2010,13.165947488584475,1.1106085569870376
2011,13.059075342465754,0.991882684766031
2012,13.65037568306011,1.045278882699417
2013,12.171198630136987,0.891638363128807
2014,11.452488584474887,0.9409499370191439
2015,12.538253424657533,1.0948060181133488
2016,13.281113387978142,1.059247483533848
2017,12.41480593607306,0.9347714738517895
2018,12.159041095890412,0.9793984020773546
2019,12.114497716894977,0.9963366042894213
2020,12.915084244080147,1.0660849955065546
2021,12.801232876712328,0.991184620617554
2022,12.517876712328766,0.9778649316739612
2023,13.034554794520549,1.0412752173603779
2024,14.289748475609757,1.0962973957205555
