Date,TEMPERATURE
2023-09-11,22.71
2023-09-12,23.0
2023-09-13,22.6
2023-09-14,20.71
2023-09-15,17.55
2023-09-16,18.87
2023-09-17,18.2
2023-09-18,19.3
2023-09-19,18.18
2023-09-20,17.17
2023-09-21,16.83
2023-09-22,17.18
2023-09-23,15.32
2023-09-24,17.06
2023-09-25,16.49
2023-09-26,15.25
2023-09-27,14.01
2023-09-28,13.9
2023-09-29,15.22
2023-09-30,16.22
2023-10-01,18.57
2023-10-02,20.13
2023-10-03,18.96
2023-10-04,20.34
2023-10-05,17.8
2023-10-06,19.69
2023-10-07,18.24
2023-10-08,13.0
2023-10-09,11.64
2023-10-10,13.01
2023-10-11,14.25
2023-10-12,13.71
2023-10-13,13.14
2023-10-14,10.75
2023-10-15,12.07
2023-10-16,11.41
2023-10-17,12.44
2023-10-18,11.85
2023-10-19,12.52
2023-10-20,15.12
2023-10-21,14.83
2023-10-22,12.1
2023-10-23,10.85
2023-10-24,10.1
2023-10-25,13.55
2023-10-26,16.93
2023-10-27,17.34
2023-10-28,20.45
2023-10-29,14.05
2023-10-30,13.96
2023-10-31,9.59
2023-11-01,7.45
2023-11-02,4.43
2023-11-03,6.02
2023-11-04,8.46
2023-11-05,10.23
2023-11-06,8.11
2023-11-07,13.35
2023-11-08,8.82
2023-11-09,8.65
2023-11-10,8.62
2023-11-11,7.45
2023-11-12,3.73
2023-11-13,2.7
2023-11-14,6.12
2023-11-15,4.47
2023-11-16,8.69
2023-11-17,10.54
2023-11-18,11.7
2023-11-19,5.76
2023-11-20,4.0
2023-11-21,2.96
2023-11-22,11.03
2023-11-23,8.52
2023-11-24,5.98
2023-11-25,0.69
2023-11-26,2.62
2023-11-27,8.66
2023-11-28,1.63
2023-11-29,-1.02
2023-11-30,1.83
2023-12-01,4.78
2023-12-02,8.86
2023-12-03,8.32
2023-12-04,7.82
2023-12-05,4.4
2023-12-06,1.81
2023-12-07,0.32
2023-12-08,2.45
2023-12-09,6.27
2023-12-10,10.45
2023-12-11,7.96
2023-12-12,2.25
2023-12-13,3.37
2023-12-14,0.63
2023-12-15,3.69
2023-12-16,6.13
2023-12-17,8.32
2023-12-18,12.49
2023-12-19,4.12
2023-12-20,0.86
2023-12-21,1.71
2023-12-22,-2.23
2023-12-23,0.3
2023-12-24,3.99
2023-12-25,5.7
2023-12-26,4.77
2023-12-27,6.41
2023-12-28,9.73
2023-12-29,9.78
2023-12-30,5.97
2023-12-31,3.07
2024-01-01,3.83
2024-01-02,0.35
2024-01-03,1.26
2024-01-04,2.3
2024-01-05,-1.66
2024-01-06,-1.48
2024-01-07,1.7
2024-01-08,1.77
2024-01-09,1.05
2024-01-10,10.19
2024-01-11,4.72
2024-01-12,3.74
2024-01-13,9.69
2024-01-14,1.2
2024-01-15,-3.45
2024-01-16,-2.57
2024-01-17,-6.11
2024-01-18,-4.2
2024-01-19,-2.03
2024-01-20,-5.54
2024-01-21,-5.38
2024-01-22,-2.99
2024-01-23,0.75
2024-01-24,2.26
2024-01-25,8.15
2024-01-26,6.93
2024-01-27,5.22
2024-01-28,3.74
2024-01-29,3.16
2024-01-30,0.38
2024-01-31,2.42
2024-02-01,1.62
2024-02-02,4.12
2024-02-03,1.55
2024-02-04,0.88
2024-02-05,0.96
2024-02-06,-0.18
2024-02-07,1.25
2024-02-08,1.92
2024-02-09,5.14
2024-02-10,7.31
2024-02-11,7.5
2024-02-12,4.24
2024-02-13,1.7
2024-02-14,-1.47
2024-02-15,-1.46
2024-02-16,1.57
2024-02-17,-0.56
2024-02-18,-2.24
2024-02-19,-0.18
2024-02-20,-2.39
2024-02-21,-1.37
2024-02-22,0.12
2024-02-23,4.38
2024-02-24,3.21
2024-02-25,-2.27
2024-02-26,2.65
2024-02-27,6.52
2024-02-28,13.19
2024-02-29,3.4
2024-03-01,0.29
2024-03-02,5.52
2024-03-03,11.35
2024-03-04,9.16
2024-03-05,6.15
2024-03-06,7.14
2024-03-07,9.7
2024-03-08,6.57
2024-03-09,4.87
2024-03-10,7.96
2024-03-11,4.58
2024-03-12,8.91
2024-03-13,8.77
2024-03-14,11.37
2024-03-15,14.92
2024-03-16,9.59
2024-03-17,10.94
2024-03-18,7.5
2024-03-19,3.65
2024-03-20,5.91
2024-03-21,1.46
2024-03-22,0.32
2024-03-23,5.9
2024-03-24,2.71
2024-03-25,3.69
2024-03-26,5.32
2024-03-27,7.2
2024-03-28,8.69
2024-03-29,7.79
2024-03-30,7.29
2024-03-31,10.7
2024-04-01,8.47
2024-04-02,7.79
2024-04-03,6.03
2024-04-04,5.72
2024-04-05,5.51
2024-04-06,6.66
2024-04-07,7.19
2024-04-08,8.45
2024-04-09,13.33
2024-04-10,12.64
2024-04-11,12.05
2024-04-12,15.65
2024-04-13,10.27
2024-04-14,12.96
2024-04-15,18.34
2024-04-16,14.64
2024-04-17,11.56
2024-04-18,8.98
2024-04-19,8.35
2024-04-20,12.54
2024-04-21,8.34
2024-04-22,8.56
2024-04-23,9.1
2024-04-24,12.9
2024-04-25,8.83
2024-04-26,7.85
2024-04-27,8.67
2024-04-28,13.91
2024-04-29,20.35
2024-04-30,15.88
2024-05-01,15.68
2024-05-02,16.87
2024-05-03,15.25
2024-05-04,11.58
2024-05-05,10.44
2024-05-06,15.89
2024-05-07,19.0
2024-05-08,22.18
2024-05-09,18.62
2024-05-10,11.75
2024-05-11,11.34
2024-05-12,10.67
2024-05-13,12.33
2024-05-14,15.71
2024-05-15,16.03
2024-05-16,16.42
2024-05-17,17.21
2024-05-18,16.98
2024-05-19,17.06
2024-05-20,16.15
2024-05-21,18.38
2024-05-22,21.48
2024-05-23,23.03
2024-05-24,22.71
2024-05-25,20.3
2024-05-26,19.69
2024-05-27,19.22
2024-05-28,21.89
2024-05-29,19.4
2024-05-30,17.83
2024-05-31,18.36
2024-06-01,20.42
2024-06-02,20.97
2024-06-03,23.41
2024-06-04,21.7
2024-06-05,19.82
2024-06-06,22.73
2024-06-07,23.51
2024-06-08,20.65
2024-06-09,20.59
2024-06-10,19.45
2024-06-11,18.96
2024-06-12,19.82
2024-06-13,21.26
2024-06-14,23.52
2024-06-15,22.08
2024-06-16,19.5
2024-06-17,21.84
2024-06-18,25.06
2024-06-19,25.09
2024-06-20,26.09
2024-06-21,28.06
2024-06-22,27.21
2024-06-23,28.53
2024-06-24,26.41
2024-06-25,25.8
2024-06-26,28.55
2024-06-27,25.68
2024-06-28,21.06
2024-06-29,22.27
2024-06-30,26.56
2024-07-01,22.14
2024-07-02,22.79
2024-07-03,22.86
2024-07-04,24.24
2024-07-05,26.68
2024-07-06,27.88
2024-07-07,28.3
2024-07-08,27.39
2024-07-09,26.36
2024-07-10,28.36
2024-07-11,28.14
2024-07-12,25.5
2024-07-13,25.34
2024-07-14,26.86
2024-07-15,28.62
2024-07-16,28.74
2024-07-17,28.1
2024-07-18,25.75
2024-07-19,24.1
2024-07-20,23.9
2024-07-21,25.93
2024-07-22,25.12
2024-07-23,24.4
2024-07-24,24.75
2024-07-25,25.01
2024-07-26,23.95
2024-07-27,24.49
2024-07-28,24.55
2024-07-29,24.76
2024-07-30,26.31
2024-07-31,26.04
2024-08-01,27.53
2024-08-02,27.54
2024-08-03,27.0
2024-08-04,24.66
2024-08-05,26.27
2024-08-06,26.55
2024-08-07,21.79
2024-08-08,20.42
2024-08-09,24.29
2024-08-10,25.46
2024-08-11,23.45
2024-08-12,22.15
2024-08-13,21.62
2024-08-14,22.9
2024-08-15,23.75
2024-08-16,24.36
2024-08-17,23.45
2024-08-18,23.02
2024-08-19,22.98
2024-08-20,19.85
2024-08-21,17.97
2024-08-22,18.83
2024-08-23,20.41
2024-08-24,21.86
2024-08-25,22.7
2024-08-26,23.68
2024-08-27,23.05
2024-08-28,26.62
2024-08-29,24.27
2024-08-30,20.96
2024-08-31,21.43
2024-09-01,24.05
2024-09-02,22.55
2024-09-03,18.2
2024-09-04,18.4
2024-09-05,18.86
2024-09-06,19.46
2024-09-07,20.58
2024-09-08,16.52
2024-09-09,17.65
2024-09-10,19.66
2024-09-11,18.69
2024-09-12,19.43
2024-09-13,19.79
2024-09-14,21.55
2024-09-15,21.52
2024-09-16,18.8
2024-09-17,19.91
2024-09-18,20.46
2024-09-19,22.58
2024-09-20,22.28
2024-09-21,20.68
2024-09-22,18.92
2024-09-23,17.38
2024-09-24,17.57
2024-09-25,17.88
2024-09-26,19.77
2024-09-27,20.82
2024-09-28,18.39
2024-09-29,17.2
2024-09-30,18.13
2024-10-01,17.78
2024-10-02,16.18
2024-10-03,18.07
2024-10-04,17.16
2024-10-05,19.22
2024-10-06,15.79
2024-10-07,18.8
2024-10-08,15.85
2024-10-09,15.01
2024-10-10,12.9
2024-10-11,12.88
2024-10-12,17.76
2024-10-13,16.07
2024-10-14,15.04
2024-10-15,9.97
2024-10-16,9.83
2024-10-17,9.34
2024-10-18,11.91
2024-10-19,13.19
2024-10-20,13.95
2024-10-21,16.59
2024-10-22,19.23
2024-10-23,17.57
2024-10-24,17.12
2024-10-25,11.97
2024-10-26,13.69
2024-10-27,10.44
2024-10-28,8.97
2024-10-29,11.99
2024-10-30,16.73
2024-10-31,19.28
2024-11-01,22.01
2024-11-02,13.44
2024-11-03,8.19
2024-11-04,8.3
2024-11-05,14.39
2024-11-06,20.4
2024-11-07,19.37
2024-11-08,13.35
2024-11-09,10.07
2024-11-10,7.77
2024-11-11,15.86
2024-11-12,10.78
2024-11-13,5.37
2024-11-14,4.67
2024-11-15,7.51
2024-11-16,10.53
2024-11-17,11.33
2024-11-18,12.15
2024-11-19,11.13
2024-11-20,11.68
2024-11-21,9.82
2024-11-22,3.98
2024-11-23,4.92
2024-11-24,8.01
2024-11-25,6.73
2024-11-26,10.77
2024-11-27,6.4
2024-11-28,6.88
2024-11-29,4.41
2024-11-30,0.9
2024-12-01,-0.98
2024-12-02,-0.43
2024-12-03,0.65
2024-12-04,1.3
